threshold,precision,recall,f1
2.4682056e-05,0.15657894736842104,1.0,0.27076222980659836
3.292168e-05,0.15664765247915752,1.0,0.2708649468892261
3.562386e-05,0.15671641791044777,1.0,0.27096774193548384
3.7418573e-05,0.15678524374176547,1.0,0.27107061503416857
3.9405142e-05,0.15685413005272408,1.0,0.2711735662742119
4.1855026e-05,0.15692307692307692,1.0,0.2712765957446808
4.2031657e-05,0.15699208443271767,1.0,0.27137970353477764
4.2082956e-05,0.1570611526616806,1.0,0.2714828897338403
4.4536435e-05,0.15713028169014084,1.0,0.2715861544313427
4.5240384e-05,0.1571994715984148,1.0,0.271689497716895
4.5723944e-05,0.15726872246696036,1.0,0.2717929196802436
4.590198e-05,0.1574074074074074,1.0,0.272
4.6288675e-05,0.15747684164093514,1.0,0.27210365853658536
4.8113885e-05,0.15754633715798763,1.0,0.2722073961113229
4.8468435e-05,0.15768551236749118,1.0,0.27241510873712327
4.850857e-05,0.15775519222271323,1.0,0.27251908396946567
4.9448998e-05,0.15782493368700265,1.0,0.2726231386025201
4.9874703e-05,0.15789473684210525,1.0,0.2727272727272727
5.027803e-05,0.15803452855245684,1.0,0.27293577981651373
5.083129e-05,0.15810451727192207,1.0,0.2730401529636712
5.1348994e-05,0.1581745680106336,1.0,0.27314460596786533
5.4795393e-05,0.15824468085106383,1.0,0.27324913892078073
5.4914715e-05,0.1583148558758315,1.0,0.273353751914242
5.5353154e-05,0.15838509316770186,1.0,0.2734584450402145
5.6262656e-05,0.1584553928095872,1.0,0.2735632183908046
5.685161e-05,0.15852575488454707,1.0,0.2736680720582598
5.703934e-05,0.15859617947578855,1.0,0.2737730061349693
5.7137768e-05,0.15866666666666668,1.0,0.27387802071346373
5.71418e-05,0.15873721654068476,1.0,0.27398311588641594
5.897705e-05,0.15880782918149466,1.0,0.27408829174664107
5.9643025e-05,0.1588785046728972,1.0,0.27419354838709675
6.000111e-05,0.15902004454342986,1.0,0.27440430438124525
6.2663334e-05,0.1590909090909091,1.0,0.2745098039215686
6.431715e-05,0.1591618368256799,1.0,0.2746153846153846
6.464354e-05,0.1592328278322926,1.0,0.27472104655636786
6.898303e-05,0.15930388219544847,1.0,0.2748267898383372
6.9555324e-05,0.159375,1.0,0.274932614555256
6.95883e-05,0.15951742627345844,1.0,0.2751445086705202
7.07694e-05,0.15958873491282968,1.0,0.2752505782575173
7.2041956e-05,0.15966010733452593,1.0,0.2753567296567682
7.260695e-05,0.1597315436241611,1.0,0.27546296296296297
7.3020296e-05,0.15980304386750224,1.0,0.27556927827093786
7.809472e-05,0.15987460815047022,1.0,0.2756756756756757
8.2590355e-05,0.15994623655913978,1.0,0.27578215527230593
8.263983e-05,0.16001792917974003,1.0,0.2758887171561051
8.266159e-05,0.1600896860986547,1.0,0.2759953614224971
8.5693006e-05,0.1601615074024226,1.0,0.2761020881670534
