model,cv_roc_auc_mean,cv_roc_auc_std,cv_average_precision_mean,cv_average_precision_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_precision_std,cv_f1_mean,cv_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std
XGBoost,0.9898460063888435,0.005906406414508548,0.9593473724816584,0.019628079323273602,0.9192009987515606,0.031414904383605606,0.8910570395950772,0.03345490936212594,0.904100486498398,0.01817406679897019,0.9489932575185384,0.014447541882143266
LightGBM,0.9891472271212439,0.00732023283413436,0.9604221997939592,0.021428310653708062,0.8698377028714107,0.04201718258538159,0.8998237124859058,0.05193194368048145,0.8829079433645493,0.028271490876705444,0.9255607433275973,0.01984001329832821
Extra Trees,0.9879203317946296,0.0066562815852612275,0.9426149597338925,0.03526094593172767,0.9169538077403245,0.03675507516367617,0.8637914905712295,0.03835715142003481,0.8891607976558475,0.033061764979963194,0.9449594922277507,0.020427601520333877
Random Forest,0.9856371608752227,0.009253939442352112,0.9338140817976841,0.041321087214900444,0.8564794007490637,0.035894455797015626,0.8903149163914355,0.039887072653416386,0.8721475215164155,0.02583388333803075,0.9182578916427231,0.017722775481915143
Gradient Boosting,0.982873798766355,0.006162321742127621,0.9350645254937291,0.02142270975453564,0.7890387016229713,0.06409787233065754,0.920434174793904,0.04775347837311213,0.8482267482264165,0.0467446245715748,0.8880714124885472,0.033001955108862446
Logistic Regression,0.940822409542213,0.01066729551529641,0.792891625508794,0.03329681753144726,0.8743570536828964,0.02629079506648102,0.49961885970457276,0.031787655354053854,0.6351059991459744,0.027132789115988952,0.8552346598975813,0.014607860100046926
